Position,TrackName,Artist,URL,Date,Id_Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,month_year
1,Mascara,Chillies,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl,2020-01-02,2Jaaw8PrdUfPlU6o6tL5dl,0.652,0.363,2,-9.852,1,0.0292,0.699,0.000121,0.147,0.196,113.976,295790,4,2020-01
2,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-02,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,159382,4,2020-01
3,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-02,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4,2020-01
4,Nghe Em,Thịnh Suy,https://open.spotify.com/track/5WHuqG7vz4Hy0BU47fPpVp,2020-01-02,5WHuqG7vz4Hy0BU47fPpVp,0.576,0.18,9,-14.24,1,0.0317,0.908,0,0.0863,0.4,129.874,268591,4,2020-01
5,To Each His Own,Talos,https://open.spotify.com/track/0LQqaXgLL3e3dkPBpkwlGU,2020-01-02,0LQqaXgLL3e3dkPBpkwlGU,0.298,0.423,2,-8.256,1,0.0452,0.858,0.00000467,0.108,0.118,79.882,190160,4,2020-01
6,Wrap Me In Plastic - Marcus Layton Radio Edit,CHROMANCE,https://open.spotify.com/track/3n2P3ipLt5mPFVaM0fJHNR,2020-01-02,3n2P3ipLt5mPFVaM0fJHNR,0.917,0.612,5,-2.183,0,0.0854,0.238,0.0000228,0.0585,0.679,89.961,193320,4,2020-01
7,NOBODY,Blue.D,https://open.spotify.com/track/0iBh2ZfirDzFDkqrvkvoiW,2020-01-02,0iBh2ZfirDzFDkqrvkvoiW,0.53,0.426,5,-7.134,0,0.0511,0.564,0,0.299,0.485,87.201,201184,4,2020-01
8,Can We Kiss Forever?,Kina,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,2020-01-02,58wyJLv6yH1La9NIZPl3ne,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,4,2020-01
9,Lối Nhỏ,Đen,https://open.spotify.com/track/22F7P7QnaVspdf5rKveBaS,2020-01-02,22F7P7QnaVspdf5rKveBaS,0.634,0.476,4,-7.714,0,0.0393,0.84,0.000137,0.079,0.425,184.061,252953,4,2020-01
10,Tự Tâm,Nguyễn Trần Trung Quân,https://open.spotify.com/track/75kOzkIGZ7WB9s5rOxICf0,2020-01-02,75kOzkIGZ7WB9s5rOxICf0,0.45,0.474,4,-10.155,0,0.0367,0.746,0.0000012,0.111,0.348,81.949,301437,4,2020-01
